name,lat,lon,value,adress,work schedule,contacts,market
bookclub.ua,49.84029513288034,24.032318519025893,10,"вулиця Братів Рогатинців, 15, Львів, Львівська область, 79000",10:00-20:00,0 322 59-01-0,Клуб Сімейного Дозвілля
bookclub.ua,49.835025649504885,23.995137155039107,10,"ТЦ Скриня, 4 поверх, вулиця Городоцька, 179, Львів, Львівська область, 79000",10:00-20:00,0 322 59-01-01,Клуб Сімейного Дозвілля
bookclub.ua,49.98639675633122,36.25624285815023,10,"«Книжковий Клуб», а/с 84, Харків, 61001",10:00-20:00,0 800 301 090,Клуб Сімейного Дозвілля
bookclub.ua,48.29650977052139,25.93595370724587,10,"м. Чернівці, вул. Головна, 10 ",09:00-19:00,0 372 50-63-80,Клуб Сімейного Дозвілля
bookclub.ua,51.49899952775696,31.289808908689718,10,"м. Чернігів, пр. Миру, 49 (ЦУМ, 1 поверх) ",10:00-19:00,0 462 66-53-80,Клуб Сімейного Дозвілля
bookclub.ua,49.43906230331472,32.062156499900304,10,"м. Черкаси, вул. Смілянська, 41 (ТЦ «Салют», 2 пов.)",9:00-18:00,0 472 31-99-98,Клуб Сімейного Дозвілля
bookclub.ua,48.68134513526469,26.58820131090193,10,"м. Кам`янець-Подільський, вул. Данила Галицького, 11/3 (ТД «Максимум», 2 пов.)",09:00-18:00,(0382) 61-90-09,Клуб Сімейного Дозвілля
bookclub.ua,49.428051483425,26.980083515335345,10,"м. Хмельницький, вул. Кам’янецька, 17 (ТРЦ «Квартал», 2 пов.) ",10:00-20:00,0 382 61-90-48,Клуб Сімейного Дозвілля
bookclub.ua,50.003593555667,36.2363647543246,10,"м. Харків, вул. Свободи, 4 ",9:00-18:00,0 57-341-72-61,Клуб Сімейного Дозвілля
bookclub.ua,49.5448508656599,25.59860265429586,10,"м. Тернопіль, вул. Перля, 3 (ТЦ «NOVUS», 2 пов.)",10:00-20:00,0 352 51-91-69,Клуб Сімейного Дозвілля
bookclub.ua,50.908902313774725,34.7991441242091,10,"м. Суми, вул. Соборна, 42",9:00-19:00,0 542 77-67-60,Клуб Сімейного Дозвілля
bookclub.ua,50.61613128606102,26.2802348077584,10,"м. Рівне, вул. Київська, 67-А (ТЦ «Арена», 1 пов.)",09:00 -19:00,0 362 67-00-55,Клуб Сімейного Дозвілля
bookclub.ua,49.068338283300676,33.41525781049143,10,"м. Кременчук, вул. Соборна, 15/42 (ТЦ «Мега», 2 пов.)",10:00-18:00,0 536 75-84-38,Клуб Сімейного Дозвілля
bookclub.ua,49.96784796844319,33.6071222572923,10,"м. Миргород, вул. Гоголя, 147 (ТЦ «Мир», 1 пов.)","пн-сб 9-17,нд 9-15",0 532 64-11-20,Клуб Сімейного Дозвілля
bookclub.ua,49.601151071489724,34.53180451544229,10,"м. Полтава, вул. Зіньківська, 6/1-А (ТЦ «Київ», 3 пов.)","10:00-20:00,",0 532 64-80-45,Клуб Сімейного Дозвілля
bookclub.ua,46.468125009129515,30.737518575987263,10,"м. Одеса, вул. Новощепний ряд, 2 (ТЦ ""Остров"", 1 поверх)",09:00-19:00,0 48 752-83-80,Клуб Сімейного Дозвілля
bookclub.ua,46.970305512917406,31.99054006781568,10,"м. Миколаїв, вул. Потьомкінська, 63/2",09:00-17:00,0 512 53-31-33,Клуб Сімейного Дозвілля
bookclub.ua,48.507590236961576,32.26429007701412,10,"м. Кропивницький, вул. Велика Перспективна, 48 (ТЦ «Depot», 1 пов.)",10:00-19:00,0 522 36-80-35,Клуб Сімейного Дозвілля
bookclub.ua,48.920113022859915,24.706310037609903,10,"м. Івано-Франківськ, вул. Січових Стрільців 10/6 ",10:00-20:00,0 342 58-61-80,Клуб Сімейного Дозвілля
bookclub.ua,47.863008884473594,35.10852922598512,10,"м. Запоріжжя, пр. Металургів, 2-Ж (ТЦ «Рекордный», цокольний пов.)",9:00-18:00,0 61 239-72-33,Клуб Сімейного Дозвілля
bookclub.ua,47.8137835791741,35.18069979579183,10,"м. Запоріжжя, пр-т. Соборний, 58",09:00-18:00,0 61 239-50-01,Клуб Сімейного Дозвілля
bookclub.ua,48.60800220820882,22.288845011050114,10,"м. Ужгород, вул. Минайська, 16-Г (ТЦ «Колізей», 2 пов.)",пн-пт 10:00-19:00,0 312 65-89-98,Клуб Сімейного Дозвілля
bookclub.ua,50.25598658749347,28.67297545602989,10,"м. Житомир, пл. Житній ринок, 1 (ТЦ «Житній», 2 поверх)",09:00-19:00,0 412 43-41-49,Клуб Сімейного Дозвілля
bookclub.ua,48.47734045422875,35.01637256345808,10,"м. Дніпро, пл. Вокзальна, 13 (ТЦ «Універмаг», 1 пов)",9:00-19.00,0 56 720-92-46,Клуб Сімейного Дозвілля
bookclub.ua,47.90968358831053,33.39345941034263,10,"м. Кривий Ріг, пр-т Гагаріна, 4 (ТЦ «Плаза-2», 1 пов.)",10:00-19:00,0 56 494-73-80,Клуб Сімейного Дозвілля
bookclub.ua,48.03350335421254,33.47731791438756,10,"м. Кривий Ріг, вул. Мусоргського, 17, (ТЦ VARUS, 2 пов.)",09:00-17:00,0 56 494-73-81,Клуб Сімейного Дозвілля
bookclub.ua,48.53190590030494,35.86732213546712,10,"м. Павлоград, вул. Соборна, 105 (ТЦ «Сіті Центр», 1 поверх)",09:00-18:00,0 56-720-99-80,Клуб Сімейного Дозвілля
bookclub.ua,48.51195670411255,34.612673879650075,10,"м. Кам’янське, пр-т Свободи, 57-А (ТЦ Радуга, 1 поверх)",9:00-17:00,0 569 56-05-60,Клуб Сімейного Дозвілля
bookclub.ua,50.744808893193394,25.322667168723232,10,"м. Луцьк, вул. Лесі Українки, 53 ( ТЦ «Галерея Центр», цокольний поверх)",09:00-19:00,0 332 74-90-79,Клуб Сімейного Дозвілля
bookclub.ua,49.24028718378194,28.506186565998966,10,"м. Вінниця, вул. Євгена Пікуса, 1-А (ТЦ «Квартал», 2 пов.)",10:00-20:00,0 432 32-91-98,Клуб Сімейного Дозвілля
bookclub.ua,50.512927697208916,30.497238755227873,10,"м. Київ, пр. Оболонський, 19 (ТЦ Smart Plaza, 2 поверх)",10:00-20:00,0 44 290-03-81,Клуб Сімейного Дозвілля
bookclub.ua,50.43222324696423,30.515026337424715,10,"м. Київ, вул. Велика Васильківська, 72 (ТЦ «Олімпійський», цокольний пов.)",10:00-20:00,0 44 290-03-80,Клуб Сімейного Дозвілля
bookclub.ua,50.5024962344821,30.60499599452988,10,"м. Київ, вул. Теодора Драйзера, 8 («Сільпо», 2-й пов.)",10:00-19:00,044 290-20-59,Клуб Сімейного Дозвілля
bookclub.ua,50.358450225728646,30.938909670995542,10,"м. Бориспіль, ул. Київський Шлях, 10-В (ринок «Зоряний», торгівельне місце — 103)",9:00-17:00,0 4595 5-33-80,Клуб Сімейного Дозвілля
bookclub.ua,50.4627295057416,30.64423180300973,10,"м. Київ, вул. Попудренко, 90/2 (ТЦ «Маяк», 2 пов.)",10:00-18:00,0 44 290-03-85,Клуб Сімейного Дозвілля
bookclub.ua,50.401767309202086,30.63658026388237,10,"м. Київ, вул. Драгоманова, 29 (ТЦ «Центрум», 1 пов.)",10:00-19:00,0 44 290-03-84,Клуб Сімейного Дозвілля
bookclub.ua,49.797851734007345,30.122042360876193,10,"м. Біла Церква, вул. Ярослава Мудрого 40, (ТЦ «Гермес», 3 поверх)",9:00-19:00,0 442 90-03-83,Клуб Сімейного Дозвілля
bookclub.ua,50.44344450658763,30.489279665329942,10,"м. Київ, пл. Старовокзальна, 23 (ТЦ «Фуршет»)",10:00-19:00,0 44 290-03-82,Клуб Сімейного Дозвілля
yakaboo.ua,50.4945940946266,30.462693371829126,10,"вулиця Кирилівська, 160, Київ, 02000",пн-пт:09:00-20:00,0-800-335-425,Yakaboo
yakaboo.ua,50.394107700000006,30.301794749450465,10,"вулиця Білогородська, 11, Святопетрівське, Київська обл.",пн-пт: 09:00-20:00,0-800-335-425,Yakaboo
